JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
1,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0,17.16503,1.41672,33.37292,34.08128,,61.4
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,800,5.44558,1.53336,9.47968,10.24636,,69.9
3,0.9,0.9,2.56,0.4,0.2,0.03,0.0013,0,16.0133,1.40937,31.04198,31.74667,,61.8
4,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,800,7.20798,1.42028,13.17523,13.88537,,74
5,0.9,1.1,2.56,0.25,0.2,0.09,0.0013,800,6.30481,1.82611,10.92379,11.83685,,71.7
6,0.9,1.1,2.56,0.4,0.1,0.09,0.0015,0,15.64936,1.39233,30.31745,31.01362,,61.2
7,1.6,0.9,2.56,0.4,0.1,0.03,0.0015,800,7.28368,1.4844,13.26247,14.00467,,74.1
8,1.6,0.9,2.56,0.25,0.2,0.09,0.0015,0,31.50914,2.46501,61.3939,62.62641,,60.7
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,800,5.84683,1.7365,10.08609,10.95434,,69.8
10,1.6,1.1,2.56,0.25,0.1,0.03,0.0013,800,6.36126,1.5744,11.29721,12.08441,,72.9
11,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0,10.46332,1.48543,19.69744,20.44015,,63.9
12,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0,12.76733,1.82879,24.02087,24.93526,,63.6
13,1.58373,0.97532,2.51412,0.31303,0.16047,0.08512,0.00144,0.32162,29.98403,1.93162,58.84492,59.81073,2.5,95.12321
14,1.54319,0.9671,2.42217,0.31416,0.14079,0.05198,0.00146,1.2741,26.84098,1.6684,52.73852,53.57272,2.5,122.46844
15,1.25921,0.94116,2.47306,0.26508,0.19015,0.03385,0.00143,2.91463,19.76917,1.66262,38.39787,39.22918,2.5,96.93202
16,1.54653,0.96226,0.84268,0.33516,0.17632,0.07514,0.0015,2.54083,12.52821,1.84844,23.50396,24.42818,2.5,96.82219
17,1.5296,0.93435,2.07425,0.36786,0.17406,0.08407,0.00131,0.3392,18.03408,1.72527,34.80979,35.67243,2.5,96.68142
18,0.90944,0.96128,2.43632,0.35347,0.17061,0.04089,0.00142,1.72502,16.90269,1.453,32.80006,33.52656,2.5,94.76951
19,1.2124,1.02995,2.55373,0.37602,0.17902,0.07255,0.00148,4.88937,18.96857,1.6124,36.82878,37.63499,2.5,95.33102
20,1.5868,0.95324,2.50519,0.25885,0.16711,0.04925,0.0014,6.91769,23.0343,1.91937,44.7484,45.70808,2.5,94.70411
21,1.26494,0.96744,1.18526,0.25099,0.15863,0.07915,0.00145,6.68818,19.63964,2.01975,37.7644,38.77427,2.5,95.34512
22,0.99068,1.02608,2.33994,0.25083,0.17117,0.08238,0.00146,8.2387,19.55499,1.877,37.74383,38.68234,2.5,94.57789
23,0.92251,0.93457,2.41268,0.32257,0.1037,0.07658,0.00131,6.27189,17.57001,1.39782,34.20802,34.90693,2.5,95.46609
24,1.51157,1.04052,0.84589,0.32343,0.18266,0.08867,0.00137,8.26879,12.92115,1.97673,24.18102,25.16938,2.5,97.00025
25,1.5943,1.00193,0.92732,0.26186,0.14072,0.07402,0.00142,5.00541,12.45274,2.05389,23.14106,24.16801,2.5,98.85197
26,1.49635,1.04785,2.55162,0.37436,0.11227,0.03665,0.00148,0.92906,22.24157,1.50096,43.58064,44.33112,2.5,92.95393
27,1.45896,1.07224,2.44504,0.30494,0.12565,0.0437,0.00142,0.03005,23.68262,1.59351,46.40875,47.20551,2.5,94.75611
28,1.5266,1.01647,2.4055,0.32041,0.11773,0.08864,0.00136,7.53364,27.64017,1.61866,54.40722,55.21655,2.5,98.34566
29,1.08083,0.9503,2.43246,0.37297,0.18384,0.05079,0.00135,7.33353,18.00124,1.51116,34.96823,35.72381,2.5,99.40613
30,1.56864,0.90276,1.86769,0.33363,0.16386,0.0569,0.00148,7.40488,15.86882,1.71961,30.43107,31.29087,2.5,99.1925
31,1.59619,1.08668,2.50491,0.34608,0.19636,0.05594,0.00141,7.8492,22.13744,1.79916,43.05055,43.95013,2.5,99.22402
32,1.5667,1.06707,2.28439,0.36022,0.12763,0.04227,0.00141,1.83106,18.21035,1.54041,35.36584,36.13604,2.5,99.12351
33,1.44738,0.92681,2.5449,0.35855,0.11905,0.06068,0.00145,12.08637,21.68941,1.508,42.46068,43.21468,2.5,100.46774
34,1.21425,0.99142,2.36587,0.29813,0.12015,0.08563,0.00134,13.75852,20.27641,1.59776,39.49643,40.29531,2.5,97.35809
35,1.39139,1.07051,0.81958,0.3326,0.10411,0.06298,0.00146,12.5524,13.5481,1.50471,25.93709,26.68944,2.5,100.0999
36,1.58494,1.0814,2.47002,0.27231,0.11028,0.04685,0.00142,0.07543,21.83884,1.66121,42.59796,43.42856,2.5,101.49427
37,1.51276,1.05332,2.55866,0.25247,0.1797,0.07873,0.0015,18.64755,26.72375,2.27351,51.88324,53.01999,2.5,98.39946
38,1.05465,0.94814,2.47937,0.32254,0.18286,0.03437,0.00149,23.02685,16.84678,1.52445,32.61432,33.37655,2.5,99.71324
39,0.9754,1.04565,2.55019,0.3985,0.16862,0.06982,0.00149,16.97898,16.4769,1.47998,31.90777,32.64776,2.5,97.84959
40,1.32187,1.02873,2.31298,0.25474,0.10701,0.07388,0.00142,19.7774,22.92085,1.71658,44.73793,45.59622,2.5,99.73391
