JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
1,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0,6.04906,3.7453,6.78548,8.65813,,60.6
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,800,18.51252,3.7858,23.2315,25.1244,,74.2
3,0.9,0.9,2.56,0.4,0.2,0.03,0.0013,0,5.45597,3.75118,6.00132,7.87691,,58.6
4,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,800,19.09775,3.77311,24.00869,25.89524,,68.9
5,0.9,1.1,2.56,0.25,0.2,0.09,0.0013,800,18.10976,3.89263,22.66645,24.61277,,92
6,0.9,1.1,2.56,0.4,0.1,0.09,0.0015,0,8.93539,3.75907,10.59156,12.47109,,76
7,1.6,0.9,2.56,0.4,0.1,0.03,0.0015,800,29.20464,8.36178,42.86503,47.04592,,116
8,1.6,0.9,2.56,0.25,0.2,0.09,0.0015,0,28.18658,4.1268,35.88465,37.94805,,86
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,800,18.35339,3.90935,22.98214,24.93681,,89
10,1.6,1.1,2.56,0.25,0.1,0.03,0.0013,800,18.67557,3.85814,23.42424,25.35331,,97
11,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0,12.99283,3.83463,15.92254,17.83985,,90
12,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0,11.70644,3.96195,14.18638,16.16735,,78
13,1.58373,0.97532,2.51412,0.31303,0.16047,0.08512,0.00144,0.32162,28.85424,3.95782,36.81789,38.7968,2.5,122.17469
14,1.52948,1.06073,2.43223,0.38293,0.13986,0.05983,0.00145,0.72255,22.24633,3.85943,28.1244,30.05412,2.5,138.71478
15,1.59369,0.96004,2.14346,0.3891,0.1526,0.04328,0.00148,0.09805,11.9404,3.86971,14.52581,16.46066,2.5,122.6706
16,1.49562,0.90586,2.15142,0.28391,0.16822,0.07906,0.0014,799.50009,17.78165,3.97226,22.20744,24.19357,2.5,181.42318
17,1.47153,0.97992,1.90135,0.33622,0.17944,0.04976,0.00142,799.96898,18.56613,3.89185,23.26861,25.21453,2.5,179.7983
18,1.30918,0.93883,2.53311,0.30511,0.15986,0.06047,0.00144,799.93269,18.46285,3.87673,23.13771,25.07608,2.5,177.79438
19,1.38785,1.03543,2.48585,0.2611,0.12512,0.06281,0.00139,0.27877,19.56004,3.8899,24.56959,26.51454,2.5,136.82773
20,1.3658,1.01158,2.49487,0.30363,0.1383,0.08242,0.00132,1.13714,19.30124,3.86962,24.23634,26.17115,2.5,159.44544
21,1.52938,0.9929,1.99353,0.3338,0.19767,0.04781,0.00135,0.98067,13.43981,3.90081,16.49722,18.44762,2.5,147.53988
22,1.17189,1.08264,1.24732,0.29326,0.17536,0.06219,0.00131,799.58522,18.39161,3.86632,23.04722,24.98038,2.5,129.20334
23,1.38205,0.91639,2.55468,0.31382,0.15175,0.06048,0.00149,0.45279,13.37986,3.87901,16.41722,18.35673,2.5,139.53761
24,1.5074,0.9266,2.52264,0.25186,0.1137,0.05652,0.00135,0.06502,19.11184,3.87991,23.99213,25.93209,2.5,103.64398
25,0.93819,1.05388,1.93017,0.31535,0.12559,0.05568,0.00134,799.9953,18.971,3.76522,23.84467,25.72728,2.5,156.64496
26,1.15052,0.92797,2.52588,0.34405,0.11261,0.06173,0.0015,798.81729,19.03541,3.79503,23.91908,25.8166,2.5,131.03748
27,1.56918,0.98237,2.46896,0.26795,0.12754,0.034,0.00149,0.30572,17.01649,3.89575,21.21102,23.15889,2.5,130.89299
28,1.56827,1.07176,2.00007,0.33704,0.11116,0.04946,0.00142,797.87084,18.90873,3.86643,23.72982,25.66304,2.5,129.0861
29,1.34773,1.02844,0.98526,0.37593,0.12575,0.07691,0.00141,798.43344,18.95052,3.82238,23.79826,25.70945,2.5,146.9686
30,1.58919,0.98753,2.3528,0.29397,0.12649,0.06358,0.00144,799.77064,18.35446,3.90243,22.98581,24.93702,2.5,161.33627
31,0.92545,1.03535,1.41239,0.33796,0.10448,0.05822,0.0015,797.25119,19.11158,3.76746,24.02846,25.91219,2.5,149.41537
32,1.03643,1.04593,2.47224,0.37333,0.11542,0.05116,0.00143,796.97583,19.12074,3.77445,24.03943,25.92665,2.5,124.27147
33,0.90442,0.9024,2.19587,0.25194,0.14455,0.05139,0.00137,797.98473,20.23203,3.88543,25.45724,27.39996,2.5,11.0327
33,1.56632,0.91058,2.4879,0.2976,0.16921,0.03684,0.00132,799.90079,18.57223,3.88651,23.27778,25.22104,2.5,142.5016
34,1.55718,0.95684,1.82575,0.31825,0.19758,0.03827,0.00143,796.43702,95.64439,82.03876,100,141.01938,2.5,17.2254
34,1.49563,1.03316,1.63402,0.30409,0.15825,0.07525,0.00142,796.37016,18.5123,3.9113,23.19104,25.14669,2.5,193.16959
35,1.56173,0.95414,1.28859,0.2863,0.12878,0.06434,0.00134,795.0784,18.22278,3.89289,22.81558,24.76202,2.5,216.36942
36,1.01545,0.92751,1.46612,0.30946,0.15757,0.05468,0.00144,798.71369,18.75747,3.80637,23.54878,25.45196,2.5,165.44328
37,1.59417,1.0568,1.82976,0.30189,0.18704,0.03872,0.00143,796.07465,18.39889,3.94218,23.0325,25.00359,2.5,214.25205
38,0.90408,0.96139,1.75408,0.37318,0.17621,0.08596,0.00137,798.7421,18.82047,3.78116,23.64067,25.53125,2.5,159.47485
39,1.4549,0.98453,1.76637,0.35083,0.17857,0.03609,0.00146,796.3728,18.74262,3.86995,23.50955,25.44453,2.5,210.32253
40,0.94075,0.95838,1.74487,0.32532,0.11796,0.07165,0.00149,799.01175,18.97448,3.77068,23.84816,25.7335,2.5,176.01815
41,1.56764,0.94293,1.61498,0.2722,0.16553,0.03748,0.00136,796.80232,18.39025,3.91007,23.03109,24.98612,2.5,209.97446
42,0.9017,0.92026,1.43904,0.36952,0.15912,0.03349,0.00149,798.83438,19.10358,3.76613,24.01847,25.90154,2.5,194.92311
