JOB_NUM,Q1,Q2,Q3,EN,SN,FN,F,M,ORIG_MAPE,MAPE1,MAPE2,WMAPE,KAPPA,SIM_TIME
1,0.9,0.9,0.81,0.25,0.1,0.03,0.0013,0.0,17.16503,1.41672,33.37292,34.08128,,63.0
2,0.9,0.9,0.81,0.25,0.1,0.09,0.0015,800.0,5.44558,1.53336,9.47968,10.24636,,72.0
3,0.9,0.9,2.56,0.4,0.2,0.03,0.0013,0.0,16.0133,1.40937,31.04198,31.74667,,64.0
4,0.9,1.1,0.81,0.4,0.2,0.03,0.0015,800.0,7.20798,1.42028,13.17523,13.88537,,76.0
5,0.9,1.1,2.56,0.25,0.2,0.09,0.0013,800.0,6.30481,1.82611,10.92379,11.83685,,73.0
6,0.9,1.1,2.56,0.4,0.1,0.09,0.0015,0.0,15.64936,1.39233,30.31745,31.01362,,63.0
7,1.6,0.9,2.56,0.4,0.1,0.03,0.0015,800.0,7.28368,1.4844,13.26247,14.00467,,76.0
8,1.6,0.9,2.56,0.25,0.2,0.09,0.0015,0.0,31.50914,2.46501,61.3939,62.62641,,62.0
9,1.6,0.9,0.81,0.4,0.2,0.09,0.0013,800.0,5.84683,1.7365,10.08609,10.95434,,72.0
10,1.6,1.1,2.56,0.25,0.1,0.03,0.0013,800.0,6.36126,1.5744,11.29721,12.08441,,74.0
11,1.6,1.1,0.81,0.4,0.1,0.09,0.0013,0.0,10.46332,1.48543,19.69744,20.44015,,66.0
12,1.6,1.1,0.81,0.25,0.2,0.03,0.0015,0.0,12.76733,1.82879,24.02087,24.93526,,66.0
13,1.58373,0.97532,2.51412,0.31303,0.16047,0.08512,0.00144,0.32162,29.98403,1.93162,58.84492,59.81073,2.5,83.99538
14,1.50234,0.93089,2.26877,0.28889,0.16469,0.05611,0.00134,1.53798,28.35687,1.80866,55.66813,56.57246,2.5,74.7724
15,1.21876,1.03861,2.52181,0.33468,0.17364,0.03667,0.0013,2.7547,18.92359,1.54026,36.81358,37.58371,2.5,101.30299
16,1.4762,0.93038,1.54981,0.25522,0.1676,0.04238,0.00135,1.73942,16.91624,1.80633,32.46415,33.36731,2.5,97.68207
17,1.30956,0.99578,2.52264,0.39962,0.11855,0.06705,0.00142,0.90645,19.63322,1.45685,38.34402,39.07244,2.5,99.27019
18,1.16477,0.90825,2.29456,0.32674,0.12497,0.05911,0.00134,5.35772,19.40465,1.48438,37.83586,38.57805,2.5,105.57384
19,1.51408,0.98923,2.38673,0.27195,0.16258,0.04049,0.00134,2.00707,26.19482,1.75676,51.34361,52.22199,2.5,99.05102
20,1.44732,1.04615,2.46529,0.39217,0.16891,0.03412,0.00141,7.66078,21.55768,1.5364,42.16239,42.93059,2.5,108.73765
21,1.0113942706004253,1.0890589522874663,0.8127760483222979,0.337882509015966,0.1374269311092272,0.06803488523939044,0.0014863610337991781,6.831147673614968,20.674016122922264,1.5034054720460333,40.401237021686086,41.152939757709106,2.5,202.70587825775146
22,1.554959195264388,1.058405017273372,1.243821815643289,0.3894677989128048,0.14568909400007965,0.03418568469877467,0.0014779459953385165,8.660870473687332,13.310866145611433,1.544019175185504,25.422707098067477,26.19471668566023,2.5,180.90643453598022
23,1.5059724519465767,1.0011018172087502,2.130456438068231,0.26028117551754015,0.12400042232415304,0.06020321844053153,0.0014916537915894556,0.2451242808476195,20.894190343546757,1.823117862812566,40.523613520938106,41.43517245234439,2.5,193.83255052566528
24,1.5860556735111992,0.9452332083634367,1.7239159657423286,0.2879934815255152,0.10856976630621523,0.07059075512998987,0.001498193867960797,6.493739519716613,14.46613332806133,1.6652995148041556,27.64200432415944,28.474654081561518,2.5,192.72368669509888
25,1.1316401269956764,0.9908627298696886,0.895014061594652,0.38913920336476954,0.10410762279117654,0.08958421884197262,0.0013598775604239512,4.835446712857738,18.225073854586796,1.4126092992560528,35.52180446808281,36.22810911771084,2.5,89.40182733535767
26,1.0155185228259753,0.9609064250477338,2.5110038702305237,0.26120986584042116,0.16265332133140664,0.062023971576924256,0.0013502451522082743,1.491248264447087,19.325875081584723,1.7017964904596907,37.46296498026737,38.313863225497215,2.5,105.1851749420166
27,1.0270772790792744,0.9997602381893913,1.9351000835434826,0.2918180184391876,0.11568794587695941,0.06431027678870962,0.001429774048906246,458.4402212256447,4.063390942014331,1.494995218943241,6.709946916857462,7.457444526329083,2.5,183.51006388664246
28,1.2111396539094768,0.945042985390993,2.2517466005201827,0.31756489821305695,0.1487849715079943,0.07740890222370508,0.0013034379206285959,757.3880301329408,4.909146892267341,1.6119413816609218,8.30752781185812,9.113498502688582,2.5,194.9021921157837
29,0.919939873319233,1.032296603031636,1.421780796019891,0.29019752051470615,0.1466725726001473,0.08289243089472229,0.001414275447561765,253.43457107270675,12.339798947854534,1.6206102847730102,23.373630214119814,24.183935356506318,2.5,186.01314640045166
